Star,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Vmag,U-B,B-V,V-R,R-I,e_Vmag,e_U-B,e_B-V,e_V-R,e_R-I,Nobs,GBP,G,GRP
HD 49798,6,48,4.8,-,44,18,59,8.279,-1.169,-0.289,-0.115,-0.147,0.007,0.014,0.006,0.002,0.004,7,8.084492683410645,8.214567184448242,8.498088836669922
[CS62] E3 19,6,41,18.6,-,45,16,31,8.99,0.063,0.251,0.14,0.139,0.011,0.004,0.007,0.005,0.002,6,9.077231407165527,8.940927505493164,8.732684135437012
[CS62] E3 26,6,42,31.3,-,45,21,21,9.53,0.108,0.469,0.26,0.258,0.004,0.004,0.005,0.002,0.003,8,9.679780006408691,9.424272537231445,9.056939125061035
[CS62] E3 34,6,40,10.8,-,45,6,4,9.713,0.633,0.955,0.493,0.469,0.004,0.012,0.004,0.002,0.003,6,9.966865539550781,9.465685844421387,8.845693588256836
[CS62] E3 33,6,42,25.3,-,45,9,12,10.053,1.116,1.158,0.58,0.52,0.003,0.008,0.006,0.005,0.004,7,10.334527969360352,9.738251686096191,9.043007850646973
[CS62] E3 55,6,43,14.1,-,45,14,31,10.659,0.003,0.058,0.014,0.025,0.004,0.009,0.006,0.005,0.001,6,10.669357299804688,10.640536308288574,10.601078987121582
[CS62] E3 59,6,43,20.8,-,45,12,57,11.345,-0.09,0.409,0.271,0.275,0.008,0.026,0.01,0.004,0.006,6,11.45818042755127,11.220510482788086,10.849963188171387
[CS62] E3 58,6,41,21.8,-,45,20,58,11.57,0.092,0.129,0.051,0.06,0.007,0.012,0.009,0.005,0.002,6,11.60757064819336,11.560220718383789,11.450056076049805
[CS62] E3 e,6,42,36.4,-,45,9,7,12.867,0.018,0.585,0.353,0.34,0.022,0.009,0.005,0.009,0.005,4,13.017354965209961,12.710962295532227,12.236726760864258
[CS62] E3 k,6,42,54.7,-,45,8,35,14.078,-0.012,0.584,0.328,0.332,0.006,0.009,0.009,0.011,0.009,5,14.2591552734375,13.951946258544922,13.47974967956543
[CS62] E3 o,6,42,46.6,-,45,10,46,14.804,-0.069,0.552,0.314,0.348,0.008,0.016,0.007,0.013,0.005,5,14.991565704345703,14.695686340332031,14.234381675720215
[CS62] E3 t,6,42,35.0,-,45,5,25,15.514,0.167,0.733,0.428,0.42,0.018,0.031,0.013,0.014,0.015,4,15.773031234741211,15.372678756713867,14.809173583984375
[CS62] E3 v,6,42,50.4,-,45,10,6,16.254,-0.033,0.509,0.312,0.347,0.025,0.033,0.014,0.031,0.03,5,16.43247413635254,16.15509796142578,15.71616268157959
[CS62] E4 33,9,25,13.1,-,45,29,3,8.841,0.721,0.983,0.514,0.482,0.003,0.005,0.003,0.002,0.003,15,9.0958833694458,8.569957733154297,7.932237148284912
[CS62] E4 7,9,24,2.6,-,45,28,25,9.405,0.079,0.081,0.03,0.038,0.005,0.004,0.003,0.002,0.003,11,9.444080352783203,9.39510726928711,9.332898139953613
[CS62] E4 37,9,23,8.5,-,45,40,18,9.482,1.412,1.273,0.67,0.584,0.002,0.01,0.002,0.002,0.002,16,9.762629508972168,9.086112022399902,8.32884693145752
